Type,AnneeSource,Nom,FGDB,SHP,Shape_Leng,Shape_Area,,
Extraction automatique RNCan,2009,Autobuilding_QC_2009_701-09-PONTIAC_MTM09,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_2009_701-09-PONTIAC_MTM09_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_2009_701-09-PONTIAC_MTM09_shp.zip,4,77472236386,0,19892214495
Extraction automatique RNCan,2015,Autobuilding_QC_2015_600014-46_MTM09,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_2015_600014-46_MTM09_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_2015_600014-46_MTM09_shp.zip,5,52579257226,0,53339053820
Extraction automatique RNCan,2018,St-Laurent 2018 - 600018-26,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_Fleuve_St_Laurent_2018_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_Fleuve_St_Laurent_2018_shp.zip,7,70223325833,0,34913344457
Extraction automatique RNCan,2016,Lidar Risques naturels MTQ 2016 - 600016-17,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Risques_Naturels_MTQ_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Risques_Naturels_MTQ_shp.zip,5,29694745686,0,49961266463
Extraction automatique RNCan,2017,Lidar MRC Memphr�magog,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/MRC_Memphremagog_2017_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/MRC_Memphremagog_2017_shp.zip,2,47224758122,0,16539555062
Extraction automatique RNCan,2018,Lidar DIF Grand Montr�al - 600018-22,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/DIF_GrandMtl_2018_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/DIF_GrandMtl_2018_shp.zip,8,26187058469,0,86993279961
Extraction automatique RNCan,2017,LLLME - 600017-31,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/LLLME_2017_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/LLLME_2017_shp.zip,3,10534994893,0,11884592994
Extraction automatique RNCan,2014,Pontiac 2014,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Autobuilding_QC_2014_600014-35_PONTIAC_MTM09_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Autobuilding_QC_2014_600014-35_PONTIAC_MTM09_shp.zip,1,76090477932,0,5688531710
Extraction automatique RNCan,2019,Prevention_risques_sinistres_2019,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Prevention_risques_sinistres_2019_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Prevention_risques_sinistres_2019_shp.zip,4,1029148328,0,22543539710
Extraction automatique RNCan,2017,600017-31_Partie_NO_batiment,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/600017-31_Partie_NO_batiment_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/600017-31_Partie_NO_batiment_shp.zip,4,63166996629,0,17610758088
Extraction automatique RNCan,2018,DIF_Grand_Montreal_2018_batiment,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/DIF_Grand_Montreal_2018_batiment_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/DIF_Grand_Montreal_2018_batiment_shp.zip,13,15753027700,0,80995664009
Extraction automatique RNCan,2011,10-261_Yamaska_2011_batiment,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/10-261_Yamaska_2011_batiment_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/10-261_Yamaska_2011_batiment_shp.zip,2,39958169323,0,25957705017
Extraction automatique RNCan,2018,Chaudiere_Etchemin_2018_2019_batiment,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/Chaudiere_Etchemin_2018_2019_batiment_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/Chaudiere_Etchemin_2018_2019_batiment_shp.zip,6,67793093965,0,79915176211
Extraction automatique RNCan,2012,QC_600012-07_Petit_Saguenay_MTM7_2012,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/QC_600012-07_Petit_Saguenay_MTM7_2012_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/QC_600012-07_Petit_Saguenay_MTM7_2012_shp.zip,2,14487856544,0,10251686081
Extraction automatique RNCan,2014,QC_600014_36_Matawinie_MTM8_2014_15,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/QC_600014_36_Matawinie_MTM8_2014_15_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/QC_600014_36_Matawinie_MTM8_2014_15_shp.zip,2,55340458170,0,24704187523
Extraction automatique RNCan,2015,QC_600015_24_LidarDIF_Cote_Nord_2015_17,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/QC_600015_24_LidarDIF_Cote_Nord_2015_17_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/QC_600015_24_LidarDIF_Cote_Nord_2015_17_shp.zip,23,14582746920,1,35831156303
Extraction automatique RNCan,2015,QC_600015-35,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/QC_600015-35_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/QC_600015-35_shp.zip,6,31381297747,0,53655141742
Extraction automatique RNCan,2016,QC_600016_18_Lac_Saint_Jean_Nord_2016_2018,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/QC_600016_18_Lac_Saint_Jean_Nord_2016_2018_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/QC_600016_18_Lac_Saint_Jean_Nord_2016_2018_shp.zip,7,15176875615,0,61356737237
Extraction automatique RNCan,2017,QC_600017-17_SOR_2017,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/QC_600017-17_SOR_2017_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/QC_600017-17_SOR_2017_shp.zip,3,9273985588,0,8712110760
Extraction automatique RNCan,2017,QC_600017-18_SOR_2017,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/QC_600017-18_SOR_2017_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/QC_600017-18_SOR_2017_shp.zip,6,11999133139,0,51890077227
Extraction automatique RNCan,2017,QC_600017-41_SOR_2017,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/QC_600017-41_SOR_2017_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/QC_600017-41_SOR_2017_shp.zip,1,28743215191,0,5318193725
Extraction automatique RNCan,2018,QC_600018-18_LidarDIF_Mauricie_MTM7_2018,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/QC_600018-18_LidarDIF_Mauricie_MTM7_2018_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/QC_600018-18_LidarDIF_Mauricie_MTM7_2018_shp.zip,21,10832694980,1,83967122781
Extraction automatique RNCan,2019,QC_600018-29_Risques_Naturels_MTQ_2018-2019,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/QC_600018-29_Risques_Naturels_MTQ_2018-2019_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/QC_600018-29_Risques_Naturels_MTQ_2018-2019_shp.zip,3,73183802170,0,39162117586
Extraction automatique RNCan,2019,QC_600019_22_SaguenayLacStJean_2019,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/QC_600019_22_SaguenayLacStJean_2019_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/QC_600019_22_SaguenayLacStJean_2019_shp.zip,20,70690813460,1,18426069177
Extraction automatique RNCan,2019,QC_600019-54_Prevention_risques_sinistres_2019,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/QC_600019-54_Prevention_risques_sinistres_2019_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/QC_600019-54_Prevention_risques_sinistres_2019_shp.zip,4,71852242208,0,27955412496
Extraction automatique RNCan,2020,QC_600020_07_BasStLaurent-Appalaches_2020,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/QC_600020_07_BasStLaurent-Appalaches_2020_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/QC_600020_07_BasStLaurent-Appalaches_2020_shp.zip,10,64183617770,1,33284746118
Extraction automatique RNCan,2013,QC_600013-31_BasStLaurent_Charlevoix_2013,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/FGDB/QC_600013-31_BasStLaurent_Charlevoix_2013_fgdb.zip,https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Theme/Local/Batiments/SHP/QC_600013-31_BasStLaurent_Charlevoix_2013_shp.zip,0,0,0,28017526249
